cluster,gene,rank,score,logfoldchange,pval,pval_adj
0,ST18,1,51.503063,8.82482,0.0,0.0
0,MBP,2,51.41357,4.916962,0.0,0.0
0,CTNNA3,3,51.158085,6.6306863,0.0,0.0
0,PIP4K2A,4,50.900967,4.527424,0.0,0.0
0,SLC44A1,5,50.791214,4.512999,0.0,0.0
0,PLP1,6,50.782303,7.430964,0.0,0.0
0,RNF220,7,50.464424,6.194485,0.0,0.0
0,IL1RAPL1,8,49.926098,3.7447798,0.0,0.0
0,TTLL7,9,49.815937,4.0307837,0.0,0.0
0,SLC24A2,10,49.555504,4.4338846,0.0,0.0
0,TMEM144,11,49.044422,6.136015,0.0,0.0
0,EDIL3,12,48.599277,4.02586,0.0,0.0
0,PRUNE2,13,47.691402,4.327464,0.0,0.0
0,PHLPP1,14,47.347366,3.6292758,0.0,0.0
0,MAN2A1,15,47.281353,4.2589293,0.0,0.0
0,FRMD5,16,47.195545,3.65488,0.0,0.0
0,MAP7,17,47.09087,3.2122712,0.0,0.0
0,SIK3,18,46.874004,2.7268727,0.0,0.0
0,CLMN,19,46.60579,5.4686317,0.0,0.0
0,QKI,20,46.13723,2.6322074,0.0,0.0
0,FRYL,21,46.04226,3.430699,0.0,0.0
0,ENPP2,22,45.759304,6.6490974,0.0,0.0
0,TMTC2,23,45.746944,4.208768,0.0,0.0
0,MOBP,24,45.59213,7.875646,0.0,0.0
0,C10orf90,25,45.406673,4.743782,0.0,0.0
0,TF,26,45.267406,5.6126266,0.0,0.0
0,SHTN1,27,44.96643,3.4597762,0.0,0.0
0,PDE1C,28,44.862514,4.2546067,0.0,0.0
0,PLEKHH1,29,44.83663,5.230968,0.0,0.0
0,PDE4B,30,44.656242,3.0735166,0.0,0.0
0,ZNF536,31,43.863384,4.5077744,0.0,0.0
0,DOCK5,32,43.727432,4.0351267,0.0,0.0
0,SEPT7,33,43.440617,2.8448224,0.0,0.0
0,DOCK10,34,43.377705,3.158701,0.0,0.0
0,TRIM2,35,43.372044,2.7231977,0.0,0.0
0,ABCA2,36,43.01264,4.470465,0.0,0.0
0,PEX5L,37,42.650303,3.3861327,0.0,0.0
0,SPOCK3,38,42.631798,3.836682,0.0,0.0
0,FRMD4B,39,42.63112,4.1804624,0.0,0.0
0,CNP,40,42.47198,5.2732353,0.0,0.0
0,GPM6B,41,42.4544,2.7041945,0.0,0.0
0,TMEM165,42,42.37549,3.8203435,0.0,0.0
0,PLCL1,43,42.133537,3.5594575,0.0,0.0
0,FAM107B,44,41.924095,5.8235216,0.0,0.0
0,NFASC,45,41.88923,2.8223972,0.0,0.0
0,CREB5,46,41.832348,4.185249,0.0,0.0
